type,E,SE,TE,NE,GSM,GSTD,GL1N,GL2N,GRAYP2P,GSKEW,GMEDIAN,WGENERGY1,WGENERGY2,WGENERGY3,WGSTD1,WGSTD2,WGSTD3,WGCONTRAST1,WGCONTRAST2,WGHOMOGENEITY1,WGHOMOGENEITY2,GLCMenergy,GLCMcontrast,GLCMentropy,GLCMhomogeneity,LBP-1,LBP-2,LBP-3,LBP-4,LBP-5,LBP-6,LBP-7,LBP-8,LBP-9,LBP-10,LBP-11,LBP-12,LBP-13,LBP-14,LBP-15,LBP-16,LBP-17,LBP-18,LBP-19,LBP-20,LBP-21,LBP-22,LBP-23,LBP-24,LBP-25,LBP-26
akiec,4.558389272811615,4.558389272811602,1,0.25264592146898734,160.84195555555556,17.7686892665125,77758.0,83747.83921055424,111,-0.6806087006687742,163.0,7104929580.812502,1502618.937500001,537961.5000000001,70.24152143115734,5.435808970824633,1.629879057559485,1502516.7746570804,537942.4128098765,6.655495308388148e-07,1.8589315831132345e-06,0.00955108331285005,2.1542985525244376,7.743551079620239,0.8236812541810847,0.7651944129571463,0.05247263117959711,0.002642506606166761,0.043412608529882504,0.012457531143357587,0.001510003774952435,0.004152510381119196,0.038505096261287085,0.008305020762238392,0.001510003774952435,0.0,0.0007550018874762175,0.009437523593452717,0.0018875047186905436,0.00302000754990487,0.030577576442786806,0.013212533030833805,0.0007550018874762175,0.0,0.0003775009437381087,0.0007550018874762175,0.0,0.0007550018874762175,0.002642506606166761,0.005285013212333522,0.0003775009437381087
akiec,5.628513782253502,5.628513782253478,4,0.31195691414507615,173.70914074074074,24.325953389306463,87317.0,90621.50851577708,166,-0.9307660649410056,176.0,8336262649.500004,705927.5000000005,288115.50000000006,97.05350410515028,3.725928361255573,1.192807997375886,705927.2684906594,288115.16101728403,1.4165745227034092e-06,3.4708223116301006e-06,0.007805068968272564,1.1831448851277742,7.923476751137099,0.8552928419331545,0.7061143983872724,0.06311637080556626,0.002958579881510918,0.040927021694234365,0.01873767258290248,0.0009861932938369728,0.007889546350695782,0.04191321498807134,0.013806706113717617,0.0019723865876739455,0.0,0.0004930966469184864,0.017751479289065508,0.002958579881510918,0.0034516765284294043,0.03353057199045707,0.02268244575825037,0.0004930966469184864,0.0004930966469184864,0.0009861932938369728,0.001479289940755459,0.0,0.001479289940755459,0.001479289940755459,0.014299802760636103,0.0
akiec,5.864416442718447,5.8644164427184196,2,0.3250316739918564,189.56562592592593,32.180342008070156,96897.0,99028.91038318914,192,-1.5475767742501152,199.0,10029981466.562504,1200633.187500001,429961.75000000006,128.1740708513834,4.8588861461758865,1.4570852706475759,1200506.1874692729,429927.2409024692,8.329812686153494e-07,2.325969556921602e-06,0.007902138167567331,1.7330545340972894,8.22423875243446,0.8333467631147982,0.7601078166774435,0.069182389933999,0.003593890386181766,0.03953279424799943,0.015274034141272506,0.001796945193090883,0.0044923629827272075,0.030997304580817734,0.01123090745681802,0.0008984725965454415,0.0,0.0008984725965454415,0.008535489667181694,0.0026954177896363245,0.0022461814913636038,0.02291105121190876,0.009433962263727136,0.00044923629827272075,0.0,0.0008984725965454415,0.0008984725965454415,0.0,0.0,0.0022461814913636038,0.009433962263727136,0.0022461814913636038
akiec,5.83266528769191,5.832665287691885,1,0.3232718857554218,160.45756296296295,34.76010366073862,82067.0,84228.0942578212,172,-0.7805032354180972,170.0,7314276402.750003,977147.2500000005,366261.00000000006,138.59339944353576,4.383633283359621,1.344876399458952,977145.842797444,366260.2372888892,1.023387638583706e-06,2.7302916557649485e-06,0.005609891771776751,1.4781744630062725,8.516583973180614,0.8307004960559261,0.6784897024912857,0.08352402745676873,0.002288329519363527,0.05606407322440641,0.015636918382317434,0.0007627765064545089,0.008390541570999598,0.04652936689372505,0.011441647596817634,0.0011441647596817635,0.0,0.0011441647596817635,0.016781083141999196,0.0015255530129090178,0.00762776506454509,0.03699466056304369,0.012967200609726653,0.00038138825322725446,0.0,0.0,0.0007627765064545089,0.0,0.0,0.0015255530129090178,0.01525553012909018,0.0007627765064545089
akiec,5.667928648158893,5.66792864815887,2,0.3141414588428357,177.5308074074074,26.23663905078977,89171.0,92539.09710800105,161,-1.1226217284813507,183.0,8727855829.875004,1062707.6250000005,387142.00000000006,104.571682610439,4.569873403421902,1.3823355232212386,1061938.3276499514,386947.4284987655,9.416733837449812e-07,2.584323714350452e-06,0.007386929846652186,1.5556383876616928,8.102718347942655,0.8382025890097841,0.7380952380586262,0.06349206348891408,0.0014880952380214238,0.044146825394635575,0.01636904761823566,0.0009920634920142825,0.004464285714064271,0.044642857140642714,0.01140873015816425,0.0004960317460071412,0.0,0.0,0.012400793650178531,0.0004960317460071412,0.004960317460071413,0.03174603174445704,0.010416666666149967,0.0004960317460071412,0.0,0.0009920634920142825,0.0004960317460071412,0.0,0.0004960317460071412,0.001984126984028565,0.009424603174135683,0.0004960317460071412
akiec,5.513683142278278,5.513683142278241,1,0.30559249655958043,170.2102037037037,26.627500048772767,85576.0,88815.52315804758,211,-1.0989458576320683,178.0,8054569581.812504,1003833.9375000008,375729.75000000006,106.20663747151723,4.443020601204342,1.36214689473901,1003800.970389627,375727.4429765434,9.9621242983997e-07,2.661496670515385e-06,0.00773278216908461,1.5083518930957682,8.105957088354163,0.8362901229827444,0.6863425925661134,0.08757716049044842,0.0011574074073627545,0.05787037036813772,0.02700617283846427,0.0011574074073627545,0.004629629629451018,0.046296296294510174,0.012731481480990299,0.002314814814725509,0.0,0.00038580246912091814,0.012731481480990299,0.0007716049382418363,0.0019290123456045906,0.03202160493703621,0.010030864197143871,0.0,0.00038580246912091814,0.0011574074073627545,0.0015432098764836726,0.0,0.0,0.00038580246912091814,0.010802469135385708,0.0007716049382418363
akiec,5.478183229136653,5.478183229136632,1,0.30362493571057053,146.36666296296298,22.83495758483516,72933.0,76340.71948892373,137,-0.7753909847577038,150.0,5951338314.562502,1070013.6875000005,390538.75,90.78012258613182,4.58719720617495,1.3887240662277385,1070004.9318940516,390532.2927543211,9.345742581350629e-07,2.560601153738474e-06,0.007813313700626162,1.576460024316697,8.019848999282294,0.8339689515014502,0.7299614230291487,0.07672524646049185,0.0038576939561141155,0.047578225458740755,0.016288041148037377,0.00042863266179045726,0.005572224603275945,0.04329189884083618,0.008572653235809146,0.001714530647161829,0.0,0.0,0.010287183882970974,0.003000428632533201,0.004286326617904573,0.02828975567817018,0.008144020574018689,0.0,0.0,0.0,0.00042863266179045726,0.0,0.0,0.003429061294323658,0.007715387912228231,0.00042863266179045726
akiec,5.7116566739042005,5.711656673904177,1,0.3165650577715925,189.65215555555557,36.10524375301587,98768.0,99224.99886390253,189,-1.0292469420458512,199.0,10107762151.937504,2077707.3125000014,709422.5000000001,143.71205652720812,6.391852229507561,1.871661153206394,2077516.1548783202,709380.8831654324,4.813437990881812e-07,1.4096779516524438e-06,0.005125765697383273,2.765065011842306,8.791446491222844,0.8037974525478515,0.7659489632868441,0.06459330143283121,0.003987240829187112,0.034688995213927876,0.01036682615588649,0.0015948963316748447,0.004784688995024535,0.03748006379435885,0.009968102072967779,0.0007974481658374223,0.0,0.00039872408291871116,0.008771929824211646,0.0007974481658374223,0.009170653907130358,0.023923444975122672,0.009170653907130358,0.0023923444975122673,0.0,0.00039872408291871116,0.0007974481658374223,0.0,0.0,0.0007974481658374223,0.008373205741292935,0.0007974481658374223
akiec,5.223585920649713,5.223585920649695,6,0.28951403649670593,159.14677037037038,25.809991446305858,84101.0,83096.13184850432,142,-0.4936720857129227,162.0,7045365978.500003,1631196.5000000005,556692.0000000001,102.52984677764898,5.66282895671838,1.6578232087832985,1630639.0766765,556546.5027950618,6.132561159898367e-07,1.7967918191670177e-06,0.005918514751392632,2.2119642611479415,8.38931765776782,0.8135944002789035,0.7708516241979434,0.05399473221887644,0.0017559262510203721,0.04038630377346856,0.011852502194387512,0.0008779631255101861,0.003950834064795837,0.041264266898978746,0.01009657594336714,0.001316944688265279,0.0,0.001316944688265279,0.006584723441326395,0.001316944688265279,0.0043898156275509305,0.029411764704591233,0.010535557506122232,0.0,0.0,0.00043898156275509303,0.00043898156275509303,0.0,0.0,0.0008779631255101861,0.007901668129591675,0.00043898156275509303
akiec,5.167817071057761,5.167817071057742,6,0.2864230823128536,161.35003703703703,23.943972565571702,82704.0,84217.50902644791,139,-0.7703643376580391,166.0,7206809050.312502,1451230.437500001,511481.50000000006,95.27002583506078,5.3411250514428446,1.5890438058908527,1450629.315050394,511324.69395061734,6.893555095498335e-07,1.9557006656046853e-06,0.007144502561429136,2.032658365278434,8.185696594287284,0.8180699810824098,0.7736692401148448,0.05932547744578117,0.004876066639379274,0.040227549774879016,0.010564811051988428,0.0012190166598448186,0.007720438845683851,0.039008533115034195,0.00853311661891373,0.001625355546459758,0.0,0.0004063388866149395,0.004876066639379274,0.000812677773229879,0.0036570499795344556,0.021942299877206733,0.011377488825218307,0.0,0.0,0.000812677773229879,0.0,0.0,0.0004063388866149395,0.0004063388866149395,0.007314099959068911,0.0012190166598448186
akiec,5.61091670610774,5.610916706107716,1,0.3109816070240887,178.6274185185185,31.644005951669374,93368.0,93418.32145066975,181,-0.8369495371091734,186.0,8935963326.250004,1236335.750000001,451353.25000000006,126.19430378341805,4.930826139499759,1.4929502538954926,1236318.410353983,451352.3432728397,8.088524629033203e-07,2.2155590844831906e-06,0.005880911417638278,1.821057553234604,8.47251409691342,0.8273653248602106,0.6968814968525205,0.07359667359361345,0.004989604989397522,0.052390852388673984,0.014137214136626311,0.0016632016631325072,0.006237006236746902,0.049480249478192094,0.013305613305060058,0.002494802494698761,0.0008316008315662536,0.0,0.008316008315662536,0.002494802494698761,0.00790020789987941,0.03617463617313203,0.012058212057710679,0.0004158004157831268,0.0,0.0008316008315662536,0.0008316008315662536,0.0,0.0,0.002494802494698761,0.009563409563011917,0.0029106029104818878
akiec,5.503284535255118,5.503284535255078,1,0.30501616016175886,148.29735185185186,22.655889767022163,74910.0,77410.96016413959,198,-1.5757260568758031,151.0,6094399367.750002,1017305.7500000006,383164.75000000006,90.63627318033164,4.4725704124920025,1.375504849401493,1017197.6079154381,383132.75212222233,9.830921829998533e-07,2.610054568309067e-06,0.008209930198488829,1.557783759867039,7.985846866815037,0.8257331779280102,0.7418730649867696,0.07198142414582116,0.005804953560146867,0.03444272445687142,0.011609907120293734,0.002708978328068538,0.007352941176186032,0.03444272445687142,0.01044891640826436,0.0015479876160391646,0.0,0.0007739938080195823,0.01006191950425457,0.0038699690400979115,0.005030959752127285,0.026315789472665798,0.013157894736332899,0.0019349845200489558,0.0,0.0011609907120293736,0.00038699690400979114,0.0,0.00038699690400979114,0.0034829721360881204,0.00967492260024478,0.0015479876160391646
akiec,5.005322814228356,5.005322814228336,1,0.27741693808227064,154.7759925925926,22.519394734316133,83031.0,80792.91383373093,144,-0.4122424975033921,156.0,6632469300.812502,1790457.9375000007,606548.0,89.25083210144116,5.933783084428682,1.7306716926816057,1790417.3990916922,606532.9628395063,5.585286659851775e-07,1.6487122919192702e-06,0.0067684234004048716,2.3989165312640592,8.244899157133776,0.812034811049697,0.777014817463787,0.052403324898720516,0.002891217925446649,0.03794723527148727,0.010480664979744104,0.0007228044813616623,0.005782435850893298,0.036140224068083114,0.00939645825770161,0.00036140224068083115,0.00036140224068083115,0.0007228044813616623,0.006505240332254961,0.0007228044813616623,0.0032526201661274806,0.029996385976508985,0.010119262739063273,0.0007228044813616623,0.00036140224068083115,0.0,0.002529815684765818,0.0,0.0,0.0032526201661274806,0.008312251535659117,0.0
akiec,6.05037904605096,6.0503790460509315,1,0.3353385368914208,149.5123851851852,38.02483431107841,85644.0,79043.5309929238,186,-0.4466076679028005,155.0,6456966646.750002,2311805.7500000014,768923.5000000001,151.76915153716925,6.740917550588083,1.9482750024824458,2310622.445201575,768644.5357728397,4.32783629057638e-07,1.3009897975853636e-06,0.003516139873856121,3.007827634029991,9.173767425524069,0.7838533970574908,0.7710144927256879,0.06557971014255147,0.002173913043399496,0.03514492753495852,0.009057971014164567,0.0018115942028329134,0.006884057970765071,0.03405797101325877,0.008333333333031401,0.002173913043399496,0.0,0.001086956521699748,0.00797101449246482,0.005072463767932157,0.003260869565099244,0.024637681158527623,0.008333333333031401,0.0007246376811331654,0.0,0.0,0.001086956521699748,0.0,0.0,0.0018115942028329134,0.008333333333031401,0.0014492753622663307
